RespondentID,knowledge,confidence,motivation,understanding,recognize_quantity,respond_needs,aware_cog_domains,support_capacity,relevant_own_learning,session_valuable
127816,5 - Significantly,4,5 - Significantly,4,3,3,NA,NA,Has helped highlight resources and find things to enhance the big ideas that need to be taught.  Has changed my thinking and already changed teaching in my own classroom.,Strongly Agree
127834,3,3,4,5 - A Great Deal,4,4,NA,NA,recognizing misconceptions in my students thinking,Agree
127871,4,4,5 - Significantly,5 - A Great Deal,5 - A Great Deal,4,NA,NA,"knowledge of resources that are supposed to be in our schools to direct teachers to when they have questions, or are looking for ideas (me included)",Strongly Agree
127889,5 - Significantly,5 - Significantly,5 - Significantly,4,4,4,4,NA,I have changed my thinking on evaluating and assessing. I am using a variety of ways to track data and feel very confident in my ability to evaluate.,Strongly Agree
127926,3,3,4,4,4,4,NA,NA,Practical application ideas and where to find more information.,Strongly Agree
127945,3,4,4,4,3,4,4,NA,"Learning the new terminology of quantity relationships (subitize, magnitude, conservation)",Agree
127963,5 - Significantly,4,4,4,4,4,NA,NA,Practical Activities and resources.,Neither Agree or Disagree
127981,5 - Significantly,4,4,4,4,4,2,NA,NA,Agree
128000,4,4,4,4,4,4,NA,NA,"Open ended questions, math talks, guided math sessions, hands-on experiences",Strongly Agree
128018,3,3,5 - Significantly,5 - A Great Deal,4,4,NA,NA,I have enjoyed the return to practical math ideas and opportunities for discussions with colleagues.,Strongly Agree
128055,4,4,4,4,4,5 - A Great Deal,4,"It is important to recognize that students come with baggage and need to be in the right head space to ""do"" math",The hands on tasks and resources have been particularly helpful,Agree
128073,2,3,3,4,3,4,NA,NA,the visual of each quantity of relationships gallery walk that we did in session 2,Disagree
128092,5 - Significantly,4,5 - Significantly,4,4,4,NA,NA,to look at quantity relationships as the main focus for developing math understanding throughout all strands,Strongly Agree
128110,4,4,5 - Significantly,4,4,4,NA,NA,Being able to share/meet with other FI teachers and sharing experiences.  Getting FI resources.,Strongly Agree
128129,4,4,5 - Significantly,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,NA,Helped me understand what to look for and listen,Strongly Agree
128147,5 - Significantly,5 - Significantly,5 - Significantly,5 - A Great Deal,4,4,NA,NA,The resources that are available to support my learning after I leave the sessions. So much to do and continue to learn!,Strongly Agree
128165,4,5 - Significantly,5 - Significantly,4,4,4,4,NA,Participating in the activities,Agree
128184,3,3,4,4,4,NA,NA,NA,it has helped me to support my students more who are on modified math programs,Agree
128202,3,3,4,4,3,3,3,NA,The concept / importance of the 13 rules,Agree
128221,4,4,5 - Significantly,4,3,3,NA,NA,connecting with lead teachers across divisions,Strongly Agree
128239,4,3,4,5 - A Great Deal,4,4,3,NA,The opportunity to discuss and share best practices with other teachers outside my school.,Agree
128257,5 - Significantly,5 - Significantly,5 - Significantly,4,4,4,NA,N/A,Everything! It has been so beneficial in guiding me as a more effective math leader. I'm very grateful for the opportunity!,Agree
128276,4,4,4,3,3,3,NA,NA,The way in which quantity relationships builds over time and across grades.,Agree
128294,4,4,4,3,3,3,NA,NA,The use of number talks and other activities to increase student use of math vocabulary.,Agree
128313,3,NA,4,4,4,NA,NA,NA,the bookmark- great tool for explaining the key concepts,Agree
